label,precision,recall,f1_score,support
cart,0.9910933921452201,0.9916822271261246,0.9913877222010097,11782.0
confirmation,0.0,0.0,0.0,258.0
conversation,0.0,0.0,0.0,0.0
greeting,0.0,0.0,0.0,190.0
menu,0.975659924580048,0.9786795048143053,0.9771673819742489,2908.0
order,0.88379705400982,0.8398133748055988,0.861244019138756,643.0
payment,0.8821428571428571,0.9182156133828996,0.8998178506375227,269.0
accuracy,0.9543302180685358,0.9543302180685358,0.9543302180685358,0.9543302180685358
macro avg,0.5332418896968493,0.532627245732704,0.5328024248502196,16050.0
weighted avg,0.9545083701703119,0.9543302180685358,0.954390267656145,16050.0
