label,precision,recall,f1_score,support
add_item,0.7846607669616519,0.9305347326336831,0.8513946044810242,2001.0
affirm,0.8620689655172413,0.7352941176470589,0.7936507936507936,136.0
afternoon,0.0,0.0,0.0,34.0
ask_item_info,0.9064245810055865,0.9433139534883721,0.9245014245014245,688.0
ask_item_price,0.0,0.0,0.0,0.0
ask_options,0.9130434782608695,0.7706422018348624,0.835820895522388,109.0
ask_price,0.0,0.0,0.0,1227.0
availability_query,0.9829721362229102,0.9860248447204969,0.9844961240310077,644.0
browse_category,0.6195652173913043,0.9344262295081968,0.7450980392156863,61.0
browse_menu,0.7608695652173914,0.9859154929577465,0.8588957055214724,71.0
cancel_order,0.8026315789473685,0.8840579710144928,0.8413793103448276,69.0
cart_item_query,0.976824034334764,0.9973707274320771,0.986990459670425,1141.0
change_quantity,0.8192379182156134,0.9463231347289318,0.8782067247820673,1863.0
checkout,0.6,1.0,0.75,51.0
clear_cart,0.6923076923076923,0.9310344827586207,0.7941176470588235,58.0
confirm_order,0.65,0.8125,0.7222222222222222,48.0
deny,0.782608695652174,0.8852459016393442,0.8307692307692308,122.0
done_ordering,0.0,0.0,0.0,0.0
evening,0.0,0.0,0.0,35.0
finish_order,0.0,0.0,0.0,56.0
goodbye,0.0,0.0,0.0,0.0
gratitude,0.0,0.0,0.0,0.0
greeting,0.13903743315508021,1.0,0.24413145539906103,26.0
modify_item,0.3039975209172606,0.8370307167235495,0.44601045692202773,1172.0
morning,0.0,0.0,0.0,36.0
night,0.0,0.0,0.0,59.0
order_error_status,0.0,0.0,0.0,58.0
order_placement_status,0.0,0.0,0.0,67.0
order_processing_status,0.0,0.0,0.0,82.0
order_status,0.0,0.0,0.0,0.0
order_status_general,0.0,0.0,0.0,155.0
payment_done,0.9857142857142858,0.92,0.9517241379310345,75.0
payment_methods_query,0.6904761904761905,0.90625,0.7837837837837838,32.0
payment_request,0.8333333333333334,0.7758620689655172,0.8035714285714286,58.0
payment_status,0.8571428571428571,0.9807692307692307,0.9147982062780269,104.0
recommendation_query,0.9158878504672897,0.9074074074074074,0.9116279069767442,108.0
remove_item,0.9423575129533679,0.6885944155229532,0.7957342083675144,2113.0
replace_item,1.0,0.3108522378908645,0.47427502338634236,3262.0
restaurant_info_query,0.0,0.0,0.0,0.0
review_order,0.8421052631578947,0.2807017543859649,0.42105263157894735,57.0
show_cart,0.5862068965517241,0.8360655737704918,0.6891891891891891,61.0
show_total,0.6710526315789473,0.9622641509433962,0.7906976744186046,53.0
undo_last,0.6981132075471698,0.6379310344827587,0.6666666666666666,58.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.6632398753894081,0.6632398753894081,0.6632398753894081,0.6632398753894081
macro avg,0.46860544575068114,0.5178730086642277,0.4702455898009265,16050.0
weighted avg,0.7560299816488008,0.6632398753894081,0.6579841824055712,16050.0
